Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ARDUINO_NANO1,ARDUINO_NANO,ARDUINO_NANO,84.43,-163.068,90,top
BATT0,CONN_02,1X02,86.081,-171.018,180,top
D1,LED-FKIT-1206,FKIT-LED-1206,109.6522,-21.1072,0,top
D2,LED-FKIT-1206,FKIT-LED-1206,97.0792,-21.1072,0,top
D3,LED-FKIT-1206,FKIT-LED-1206,84.5062,-21.1072,0,top
D4,LED-FKIT-1206,FKIT-LED-1206,71.9332,-21.1072,0,top
D5,LED-FKIT-1206,FKIT-LED-1206,59.3602,-21.1072,0,top
J1,455-1750-1-ND,1X03,122.9872,-127.7364,180,top
J2,455-1750-1-ND,1X03,51.9688,-127.9142,180,top
J3,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,80.62,-32.08,90,top
LDR0,CONN_02,1X02,110.084,-143.078,0,top
M1A0,CONN_01,1X01,57.912,-165.9457,0,top
M1B0,CONN_01,1X01,57.912,-173.6927,0,top
M2A0,CONN_01,1X01,111.252,-165.9457,0,top
M2B0,CONN_01,1X01,111.252,-173.6927,0,top
R1,100OHM-0603-1/10W-1%,0603,109.9452,-27.9652,0,top
R2,100OHM-0603-1/10W-1%,0603,97.2804,-27.9652,0,top
R3,100OHM-0603-1/10W-1%,0603,84.6155,-27.9652,0,top
R4,100OHM-0603-1/10W-1%,0603,71.9507,-27.9652,0,top
R5,100OHM-0603-1/10W-1%,0603,59.2858,-27.9652,0,top
S2X0,EG1213,EG1213,84.557,-184.48,0,top
SW1,SW_Push,SW_PUSH_6mm,54.308,-139.086,0,top
C1,100n,C0603-ROUND,88.7988,-155.3716,0,bottom
C2,22UF-0805-6.3V-20%,0805,89.637,-149.047,-90,bottom
C3,100n,C0603-ROUND,77.572,-126.568,-90,bottom
C6,100n,C0603-ROUND,57.8358,-169.6541,90,bottom
C7,100n,C0603-ROUND,111.1758,-169.6795,90,bottom
D7,DIODE-SCHOTTKY-SS14,SMA-DIODE,86.208,-176.1062,-90,bottom
IC3,7404D,SO14,84.43,-138.252,90,bottom
R6,10K,0603-RES,109.8308,-35.7628,180,bottom
R7,100,0603-RES,109.8494,-40.6142,0,bottom
R8,10K,0603-RES,96.9944,-35.7628,180,bottom
R9,100,0603-RES,97.0545,-40.6142,0,bottom
R10,10K,0603-RES,84.158,-35.7628,180,bottom
R11,100,0603-RES,84.2596,-40.6142,0,bottom
R12,10K,0603-RES,71.3216,-35.7628,180,bottom
R13,100,0603-RES,71.4647,-40.6142,0,bottom
R14,10K,0603-RES,58.4852,-35.7628,180,bottom
R15,100,0603-RES,58.6698,-40.6142,0,bottom
R16,100OHM-0603-1/10W-1%,0603,111.696,-149.682,180,bottom
R17,1kOHM-0603-1/10W-1%,0603,58.014,-148.412,180,bottom
U2,QRE11131:1,QRE1113-1_1,59.665,-25.1458,180,bottom
U3,"TB6612FNG(O,C,8,EL",SOP65P760X160-24N,84.43,-125.806,-90,bottom
U5,QRE11131:1,QRE1113-1_1,72.1809,-25.1458,180,bottom
U6,QRE11131:1,QRE1113-1_1,84.6967,-25.1458,180,bottom
U7,QRE11131:1,QRE1113-1_1,97.2126,-25.1458,180,bottom
U8,QRE11131:1,QRE1113-1_1,109.7284,-25.1458,180,bottom