Comment,Designator,Footprint,LCSC
ARDUINO_NANO,ARDUINO_NANO1,lekirbot:ARDUINO_NANO,
CONN_02,"BATT0,LDR0",lekirbot:1X02,
100n,"C1,C3,C6,C7",lekirbot:C0603-ROUND,C57112
22UF-0805-6.3V-20%,C2,lekirbot:0805,C77071
LED-FKIT-1206,"D1,D2,D3,D4,D5",lekirbot:FKIT-LED-1206,C375581
DIODE-SCHOTTKY-SS14,D7,lekirbot:SMA-DIODE,C2837270
MountingHole,"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10",MountingHole:MountingHole_3.2mm_M3,
7404D,IC3,lekirbot:SO14,C85311
455-1750-1-ND,"J1,J2",lekirbot:1X03,
Conn_01x04_Pin,J3,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,
CONN_01,"M1A0,M1B0,M2A0,M2B0",lekirbot:1X01,
100OHM-0603-1/10W-1%,"R1,R2,R3,R4,R5,R16",lekirbot:0603,C510086
1kOHM-0603-1/10W-1%,R17,lekirbot:0603,C21190
10K,"R6,R8,R10,R12,R14",lekirbot:0603-RES,C25804
100,"R7,R9,R11,R13,R15",lekirbot:0603-RES,C510086
EG1213,S2X0,lekirbot:EG1213,
SW_Push,SW1,Button_Switch_THT:SW_PUSH_6mm,
QRE11131:1,"U2,U5,U6,U7,U8",lekirbot:QRE1113-1_1,C232862
"TB6612FNG(O,C,8,EL",U3,lekirbot:SOP65P760X160-24N,C88224